trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.7, 'e': 0.2865047968601901}",25,0,-85.08390416778113,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
126,False,"{'a': 0.7, 'e': 0.2836540264997704}",20,2,-36.93330441626824,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.7, 'e': 0.2808316217783798}",20,0,-7.236809547908081,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
128,False,"{'a': 0.7, 'e': 0.27803730045319414}",20,15,10.798040505799213,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.27527078308975234}",20,5,14.606561786764843,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.2725317930340126}",30,14,-11.988617600587645,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.26982005638468687}",20,1,11.45038815173552,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.2671353019658504}",25,7,-14.735713728623555,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.26447726129982396}",30,0,-0.39670610643144055,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.261845668580326}",25,16,-26.402519012496583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.7, 'e': 0.2592402606458915}",25,16,6.800052830325121,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2566607769535559}",30,9,20.931992597889785,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.25410695955280027}",25,0,24.061748141498715,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.7, 'e': 0.2515785530597565}",20,0,-25.062026096724956,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.7, 'e': 0.2490753046316682}",20,14,12.425224062298916,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24659696394160646}",20,2,16.34193062115407,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.2441432831534371}",25,11,22.734549025975557,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.24171401689703648}",20,1,-13.148831870595627,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23930892224375455}",25,6,10.486165775321943,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.2369277586821218}",20,0,19.928703021690115,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.23457028809379768}",20,14,10.941095403651731,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.23223627472975886}",30,20,-54.759020953781224,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.7, 'e': 0.22992548518672387}",20,15,10.645452573332177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.22763768838381276}",25,3,12.777379941418761,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.22537265553943875}",30,3,-14.471670388448072,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.7, 'e': 0.22313016014842985}",30,0,36.171859439036226,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.7, 'e': 0.22090997795937822}",25,20,9.523737023514801,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.21871188695221477}",35,12,33.63532806940761,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.21653566731600707}",35,25,20.482948795939947,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.21438110142697797}",30,13,18.951500083049563,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.21224797382674307}",25,7,4.554976660104715,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.21013607120076475}",25,18,10.610038707484916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
